tower_type,faa_study_number,registration_number,latitude,longitude,status_code,date_constructed,structure_street_address,structure_city,structure_state_code,height_of_structure,ground_elevation,overall_height_above_ground,overall_height_amsl,structure_type,owner_entity_name,owner_licensee_id,owner_first_name,owner_last_name,owner_phone,owner_internet_address,owner_street_address,owner_po_box,owner_city,owner_state,owner_zip_code,owner_attention,rep_entity_name,rep_licensee_id,rep_first_name,rep_last_name,rep_phone,rep_internet_address,rep_street_address,rep_po_box,rep_city,rep_state,rep_zip_code,rep_attention,hist1_purpose,hist1_status,hist1_date,hist1_addnl,hist2_purpose,hist2_status,hist2_date,hist2_addnl,hist3_purpose,hist3_status,hist3_date,hist3_addnl
Non-Registered,2011-ANE-343-NRA,NA,41.6541388888889,-70.5084444444444,NA,NA,NA,FALMOUTH,,7.6,36.6,NA,44.2,NA,12 RADAR SQUADRON,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,11/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2006-ANE-764-OE,NA,41.6496666666667,-70.4243611111111,NA,NA,NA,MASHPEE,,29,23.2,NA,52.1,NA,CINGULAR WIRELESS-DALLAS,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,08/07/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2011-ANE-1657-OE,NA,41.6290555555556,-70.4416388888889,NA,NA,NA,COTUIT,,51.2,18.9,NA,70.1,NA,COTUIT WATER DISTRICT,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/29/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2009-ANE-438-NRA,NA,41.6649722222222,-70.5194722222222,NA,NA,NA,FALMOUTH,,15.2,39.6,NA,54.9,NA,US COAST GUARD,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/28/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,99-ANE-307-OE,NA,41.7128333333333,-70.4961666666667,NA,NA,NA,OTIS ANLB,,91.4,39.7,NA,131.1,NA,US COAST GUARD,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,08/17/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2015-ANE-180-NRA,NA,41.6504722222222,-70.5171111111111,NA,NA,NA,FALMOUTH,,10.7,31.1,NA,41.8,NA,AJW-E11A,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,12/11/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,90-ANE-386-OE,NA,41.7220277777778,-70.4583333333333,NA,NA,NA,SANDWICH,,37.8,81.1,NA,118.9,NA,SOUTHWESTERN BELL MOBILE SYSTEMS,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,11/09/1990,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,00-ANE-0562-OE,NA,41.7221944444444,-70.4589444444444,NA,NA,NA,SANDWICH,,40.2,81.7,NA,121.9,NA,SOUTHWESTERN BELL MOBILE SYSTEMS,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,10/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2015-ANE-416-NRA,NA,41.6505,-70.5173055555556,NA,NA,NA,FALMOUTH,,30.5,11.3,NA,41.8,NA,AJW-E11A,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/25/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2006-ANE-1344-OE,NA,41.7086111111111,-70.4272222222222,NA,NA,NA,SANDWICH,,57.9,73.2,NA,131.1,NA,OMNIPOINT COMMUNICATIONS INC NEW ENGLAND,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/12/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2016-ANE-1272-NRA,NA,41.6652777777778,-70.5216666666667,NA,NA,NA,FALMOUTH,,37.2,37.2,NA,74.4,NA,CUTTER ENTERPRISES,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,10/17/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2010-ANE-266-NRA,NA,41.6489166666667,-70.5185833333333,NA,NA,NA,FALMOUTH,,17.1,29.6,NA,46.6,NA,ENDICOTT CONSTRUCTORS,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,05/27/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,87-ANE-149-OE,NA,41.7245277777778,-70.4705555555555,NA,NA,NA,SANDWICH,,51.8,79.3,NA,131.1,NA,MR W BURKE,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,12/14/1987,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2009-ANE-278-NRA,NA,41.6608333333333,-70.5221388888889,NA,NA,NA,FALMOUTH,,10.4,36.6,NA,46.9,NA,US COAST GUARD,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,10/22/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2016-ANE-540-OE,NA,41.6624166666667,-70.5223611111111,NA,NA,NA,FALMOUTH,,31.7,36.9,NA,68.6,NA,FAA - BOSTON TERMINAL CONSTRUCTION CENTER,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,04/25/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2017-ANE-963-OE,NA,41.6478611111111,-70.5198055555556,NA,NA,NA,BOURNE,,12.2,30.2,NA,42.4,NA,CHRISTOPHER ALLEN,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/12/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2010-ANE-1-OE,NA,41.7159444444444,-70.4989444444444,NA,NA,NA,FORESTDALE,,78.6,54.6,NA,133.2,NA,US COAST GUARD,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,02/18/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2005-ANE-25-NRA,NA,41.6548333333333,-70.5229166666667,NA,NA,NA,FALMOUTH,,28,34.4,NA,62.5,NA,MAJOR S DEMIANCZYK,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,03/24/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,85-ANE-381-OE,NA,41.7131388888889,-70.5047222222222,NA,NA,NA,SANDWICH,,71,54.9,NA,125.9,NA,COMMANDER FIRST COAST GUARD DISTRICT,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,04/10/1987,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,86-ANE-722-OE,NA,41.6761944444444,-70.5250277777778,NA,NA,NA,SANDWICH,,27.4,32,NA,59.4,NA,LIBERTY CORNER ASSOCIATES INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,08/21/1987,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2011-ANE-225-NRA,NA,41.6455555555556,-70.5213888888889,NA,NA,NA,FALMOUTH,,67.1,33.5,NA,100.6,NA,JAMES BROWN,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/03/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,85-ANE-380-OE,NA,41.7134166666667,-70.5053055555556,NA,NA,NA,SANDWICH,,71,54.9,NA,125.9,NA,COMMANDER FIRST COAST GUARD DISTRICT,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,04/20/1987,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,98-ANE-208-OE,NA,41.7131388888889,-70.4230555555556,NA,NA,NA,SANDWICH,,61,48.8,NA,109.7,NA,SEACOAST INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,07/15/1998,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2016-ANE-1030-OE,NA,41.66675,-70.5276388888889,NA,NA,NA,FALMOUTH,,25,39,NA,64,NA,US COAST GUARD C3CEN,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,08/17/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,00-ANE-0142-OE,NA,41.6548055555556,-70.4044444444445,NA,NA,NA,BARNSTABLE,,68.3,18.3,NA,86.6,NA,INDUSTRIAL COMM  ELECTRONICS INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,05/19/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2006-ANE-106-OE,NA,41.7179166666667,-70.50325,NA,NA,NA,BUZZARDS BAY,,25,55.8,NA,80.8,NA,US COAST GUARD MLCLANT TP-2,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,03/13/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,98-ANE-0494-OE,NA,41.7134166666667,-70.4225,NA,NA,NA,SANDWICH,,76.2,48.8,NA,125,NA,SEACOAST LP,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,12/22/1998,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2017-ANE-3-OE,NA,41.6441666666667,-70.52375,NA,NA,NA,BOURNE,,18.3,30.2,NA,48.5,NA,CHRISTOPHER ALLEN,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/12/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2012-ANE-618-NRA,NA,41.6427222222222,-70.5243055555556,NA,NA,NA,FALMOUTH,,51.8,29.9,NA,81.7,NA,JODY BUILDERS,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,10/17/2012,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,01-ANE-0713-OE,NA,41.6581388888889,-70.4956111111111,NA,NA,NA,MASHPEE,,40.2,45.7,NA,86,NA,SEACOAST LP,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/04/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,00285-ANE-344-OE,NA,41.6964722222222,-70.4841666666667,NA,NA,NA,SANDWICH,,91.4,51.9,NA,143.3,NA,BLANK,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,07/31/1986,NA,NA,NA,NA,NA,NA,NA,NA,NA
Future,02-ANE-215-OE,1234704,41.6558888888889,-70.5003055555556,Granted,,Off Echo Rd - Mashpee MA,MASHPEE,MA,167.0029,114.835,167.0029,281.8379,Tower,Seacoast LP,L00481488,Richard,Joyal,5083627791,joyalr@aol.com,19 Brentwood Ln,,Yarmouthport,MA,02675    ,,,,,,,,,,,,,,New Reg,Granted,06/26/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA
