tower_type,faa_study_number,registration_number,latitude,longitude,status_code,date_constructed,structure_street_address,structure_city,structure_state_code,height_of_structure,ground_elevation,overall_height_above_ground,overall_height_amsl,structure_type,owner_entity_name,owner_licensee_id,owner_first_name,owner_last_name,owner_phone,owner_internet_address,owner_street_address,owner_po_box,owner_city,owner_state,owner_zip_code,owner_attention,rep_entity_name,rep_licensee_id,rep_first_name,rep_last_name,rep_phone,rep_internet_address,rep_street_address,rep_po_box,rep_city,rep_state,rep_zip_code,rep_attention,hist1_purpose,hist1_status,hist1_date,hist1_addnl,hist2_purpose,hist2_status,hist2_date,hist2_addnl,hist3_purpose,hist3_status,hist3_date,hist3_addnl
Non-Registered,2002-ANE-279-OE,NA,41.6559722222222,-70.5009722222222,NA,NA,NA,MASHPEE,,46.9,35.1,NA,82,NA,SEACOAST LP,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/27/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2012-ANE-618-NRA,NA,41.6427222222222,-70.5243055555556,NA,NA,NA,FALMOUTH,,51.8,29.9,NA,81.7,NA,JODY BUILDERS,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,10/17/2012,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2016-ANE-1030-OE,NA,41.66675,-70.5276388888889,NA,NA,NA,FALMOUTH,,25,39,NA,64,NA,US COAST GUARD C3CEN,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,08/17/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,02-ANE-272-OE,NA,41.6243888888889,-70.5511111111111,NA,NA,NA,NEW BEDFORD,,61,21.3,NA,82.3,NA,EASTERN TOWERS INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/03/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,01-ANE-0713-OE,NA,41.6581388888889,-70.4956111111111,NA,NA,NA,MASHPEE,,40.2,45.7,NA,86,NA,SEACOAST LP,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/04/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2015-ANE-1091-OE,NA,41.665,-70.5465277777778,NA,NA,NA,BOURNE,,44.2,39,NA,83.2,NA,AVWATCH INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,07/23/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,02-ANE-278-OE,NA,41.6185277777778,-70.5549166666667,NA,NA,NA,FALMOUTH,,54.9,24.4,NA,79.2,NA,SEACOAST LP,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/12/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2011-ANE-123-NRA,NA,41.6706944444444,-70.5076388888889,NA,NA,NA,FALMOUTH,,45.7,48.8,NA,94.5,NA,VANGUARD CONST CO INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,05/05/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,86-ANE-722-OE,NA,41.6761944444444,-70.5250277777778,NA,NA,NA,SANDWICH,,27.4,32,NA,59.4,NA,LIBERTY CORNER ASSOCIATES INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,08/21/1987,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2007-ANE-1316-OE,NA,41.6613333333333,-70.5565555555556,NA,NA,NA,CAMP EDWARDS,,39,39,NA,78,NA,NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/04/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2015-ANE-159-NRA,NA,41.6571944444444,-70.5649722222222,NA,NA,NA,BOURNE,,11.3,32.3,NA,43.6,NA,THE NUTMEG COMPANIES INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,05/18/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2015-ANE-160-NRA,NA,41.6560277777778,-70.5659166666667,NA,NA,NA,BOURNE,,9.4,31.4,NA,40.8,NA,THE NUTMEG COMPANIES INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,05/18/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,98-ANE-292-OE,NA,41.6031388888889,-70.4880555555556,NA,NA,NA,MASHPEE,,91.4,15.2,NA,106.7,NA,,NA,R,JOYAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/30/1998,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2010-ANE-212-NRA,NA,41.5843333333333,-70.5399444444444,NA,NA,NA,FALMOUTH,,28,11,NA,39,NA,FALMOUTH AIRPARK,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,07/09/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2013-ANE-1922-OE,NA,41.6544444444444,-70.5763888888889,NA,NA,NA,BOURNE,,27.4,31.7,NA,59.1,NA,BARNSTABLE COUNTY SHERIFFS OFFICE,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,03/06/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2013-ANE-1914-OE,NA,41.6761666666667,-70.5709722222222,NA,NA,NA,BOURNE,,27.4,54,NA,81.4,NA,BARNSTABLE COUNTY SHERIFFS OFFICE,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,05/12/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,92-ANE-338-OE,NA,41.6439722222222,-70.4619444444444,NA,NA,NA,MASHPEE,,58.8,18,NA,76.8,NA,NYNEX MOBILE COMMUNICATIONS COMPANY,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,11/10/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2003-ANE-973-OE,NA,41.5828888888889,-70.5543333333333,NA,NA,NA,EAST FALMOUTH,,36,12.2,NA,48.2,NA,SPRINT SPECTRUM LP,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,01/15/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,94-ANE-009-OE,NA,41.6303611111111,-70.4613888888889,NA,NA,NA,MASHPEE,,35.1,16.4,NA,51.5,NA,NYNEX MOBILE COMMUNICATIONS CO,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,02/24/1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2014-ANE-364-OE,NA,41.6781111111111,-70.5700277777778,NA,NA,NA,BOURNE,,21.3,58.2,NA,79.5,NA,BARNSTABLE COUNTY SHERIFFS OFFICE,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,05/12/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2016-ANE-3110-OE,NA,41.6949444444444,-70.4993611111111,NA,NA,NA,NEW BEDFORD,,41.1,46,NA,87.2,NA,ECO-SITE INC IT,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,08/18/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2017-ANE-3-OE,NA,41.6441666666667,-70.52375,NA,NA,NA,BOURNE,,18.3,30.2,NA,48.5,NA,CHRISTOPHER ALLEN,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/12/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2011-ANE-225-NRA,NA,41.6455555555556,-70.5213888888889,NA,NA,NA,FALMOUTH,,67.1,33.5,NA,100.6,NA,JAMES BROWN,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/03/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2017-ANE-966-OE,NA,41.645,-70.5301666666667,NA,NA,NA,BOURNE,,12.2,30.5,NA,42.7,NA,CHRISTOPHER ALLEN,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/12/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2017-ANE-963-OE,NA,41.6478611111111,-70.5198055555556,NA,NA,NA,BOURNE,,12.2,30.2,NA,42.4,NA,CHRISTOPHER ALLEN,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/12/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2010-ANE-266-NRA,NA,41.6489166666667,-70.5185833333333,NA,NA,NA,FALMOUTH,,17.1,29.6,NA,46.6,NA,ENDICOTT CONSTRUCTORS,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,05/27/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2015-ANE-180-NRA,NA,41.6504722222222,-70.5171111111111,NA,NA,NA,FALMOUTH,,10.7,31.1,NA,41.8,NA,AJW-E11A,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,12/11/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2005-ANE-25-NRA,NA,41.6548333333333,-70.5229166666667,NA,NA,NA,FALMOUTH,,28,34.4,NA,62.5,NA,MAJOR S DEMIANCZYK,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,03/24/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
Future,02-ANE-215-OE,1234704,41.6558888888889,-70.5003055555556,Granted,,Off Echo Rd - Mashpee MA,MASHPEE,MA,167.0029,114.835,167.0029,281.8379,Tower,Seacoast LP,L00481488,Richard,Joyal,5083627791,joyalr@aol.com,19 Brentwood Ln,,Yarmouthport,MA,02675    ,,,,,,,,,,,,,,New Reg,Granted,06/26/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA
