tower_type,faa_study_number,registration_number,latitude,longitude,status_code,date_constructed,structure_street_address,structure_city,structure_state_code,height_of_structure,ground_elevation,overall_height_above_ground,overall_height_amsl,structure_type,owner_entity_name,owner_licensee_id,owner_first_name,owner_last_name,owner_phone,owner_internet_address,owner_street_address,owner_po_box,owner_city,owner_state,owner_zip_code,owner_attention,rep_entity_name,rep_licensee_id,rep_first_name,rep_last_name,rep_phone,rep_internet_address,rep_street_address,rep_po_box,rep_city,rep_state,rep_zip_code,rep_attention,hist1_purpose,hist1_status,hist1_date,hist1_addnl,hist2_purpose,hist2_status,hist2_date,hist2_addnl,hist3_purpose,hist3_status,hist3_date,hist3_addnl
Non-Registered,2007-ANE-1316-OE,NA,41.6613333333333,-70.5565555555556,NA,NA,NA,CAMP EDWARDS,,39,39,NA,78,NA,NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/04/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2013-ANE-1922-OE,NA,41.6544444444444,-70.5763888888889,NA,NA,NA,BOURNE,,27.4,31.7,NA,59.1,NA,BARNSTABLE COUNTY SHERIFFS OFFICE,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,03/06/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2015-ANE-159-NRA,NA,41.6571944444444,-70.5649722222222,NA,NA,NA,BOURNE,,11.3,32.3,NA,43.6,NA,THE NUTMEG COMPANIES INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,05/18/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2015-ANE-160-NRA,NA,41.6560277777778,-70.5659166666667,NA,NA,NA,BOURNE,,9.4,31.4,NA,40.8,NA,THE NUTMEG COMPANIES INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,05/18/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2015-ANE-1091-OE,NA,41.665,-70.5465277777778,NA,NA,NA,BOURNE,,44.2,39,NA,83.2,NA,AVWATCH INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,07/23/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2009-ANE-651-OE,NA,41.7691111111111,-70.5643611111111,NA,NA,NA,BARNSTABLE,,56.4,0,NA,56.4,NA,NSTAR ELECTRIC AND GAS,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,08/27/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2014-ANE-1946-OE,NA,41.7701666666667,-70.5676388888889,NA,NA,NA,BOURNE,,58.8,50.6,NA,109.4,NA,NSTAR,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/16/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,00-ANE-0469-OE,NA,41.7544444444444,-70.5397222222222,NA,NA,NA,SANDWICH,,27.1,99.1,NA,126.2,NA,CIVIL AIR PATROL MASS WING,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,10/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,94-ANE-329-OE,NA,41.7728611111111,-70.56975,NA,NA,NA,SAGAMORE,,106.4,59.4,NA,165.8,NA,INDUSTRIAL COMMUNICATIONS  ELECTRONICS,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/08/1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,96-ANE-215-OE,NA,41.7739722222222,-70.5703055555556,NA,NA,NA,SAGAMORE,,58.2,62.2,NA,120.4,NA,SPRINT SPECTRUM LP,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,08/15/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2003-ANE-378-OE,NA,41.6970277777778,-70.58725,NA,NA,NA,BOURNE,,72.2,25.9,NA,98.2,NA,AMERICAN TOWER,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,05/28/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2015-ANE-1092-OE,NA,41.7077222222222,-70.5644166666667,NA,NA,NA,BOURNE,,14.6,87.8,NA,102.4,NA,AVWATCH INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,10/22/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,92-ANE-347-OE,NA,41.6831388888889,-70.5930833333333,NA,NA,NA,BOURNE,,55.5,15.2,NA,70.7,NA,NYNEX MOBILE COMMUNICATIONS COMPANY,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,12/09/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA
